Stage,Cross-sectional Area,Hydraulic Radius,Top Width,Wetted Perimeter
-40.77999999999997,0.24840000000007156,0.02737615863363246,9.068000000000211,9.07358856749553
-40.67999999999995,1.4336000000005147,0.09787671306690288,14.636000000000877,14.646997790174956
-40.57999999999993,2.97750909091006,0.1830205051031834,16.2421818181831,16.268718574628554
-40.479999999999905,4.682036363637853,0.2617060581724074,17.848363636365207,17.89043935908205
-40.37999999999988,6.5471818181838914,0.3355436696922048,19.454545454547315,19.51216014353554
-40.27999999999986,8.572945454548236,0.4056493686019786,21.06072727272965,21.13388092798925
-40.179999999999836,10.759327272730783,0.472821040229738,22.66690909091176,22.75560171244274
-40.079999999999814,13.106327272731576,0.5376442500771076,24.273090909093867,24.37732249689623
-39.97999999999979,15.613945454550658,0.6005584623089255,25.87927272727609,25.999043281349834
-39.87999999999977,18.282181818188008,0.661899930596877,27.48545454545831,27.620764065803435
-39.779999999999745,21.111036363643603,0.7219303171993621,29.091636363640532,29.242484850257036
-39.67999999999972,24.100509090917406,0.7808562895204882,30.69781818182264,30.864205634710522
-39.5799999999997,27.250600000009527,0.8388432470232349,32.30400000000486,32.48592641916413
-39.47999999999968,30.561309090919895,0.8960251320905629,33.910181818187084,34.10764720361773
-39.379999999999654,34.03263636364844,0.9525115690546428,35.51636363636919,35.72936798807122
-39.27999999999963,37.664581818195245,1.0083931434389977,37.1225454545513,37.35108877252471
-39.17999999999961,41.457145454560475,1.0637453631345193,38.728727272733636,38.97280955697842
-39.079999999999586,45.41032727274378,1.118631670099573,40.334909090915744,40.59453034143192
-38.97999999999956,49.52412727274543,1.1731057579003972,41.941090909097966,42.21625112588552
-38.87999999999954,53.79854545456535,1.2272133748476863,43.54727272728019,43.83797191033912
-38.77999999999952,58.233581818203405,1.2809937411845733,45.153454545462296,45.45969269479261
-38.679999999999495,62.82923636365983,1.3344806733841024,46.75963636364452,47.08141347924621
-38.57999999999947,67.5855090909344,1.3877034838250328,48.365818181826626,48.703134263699695
-38.47999999999945,72.50240000002734,1.4406877065150705,49.97200000000885,50.324855048153296
-38.37999999999943,77.57990909093853,1.4934556868759299,51.57818181819107,51.946575832606904
-38.279999999999404,82.81803636366784,1.5460270643978626,53.18436363637318,53.5682966170604
-38.17999999999938,88.21678181821555,1.5984191701993475,54.7905454545554,55.190017401514
-38.07999999999936,93.77614545458152,1.650647356495494,56.39672727273762,56.8117381859676
-37.979999999999336,99.49612727276558,1.7027252712034442,58.00290909091973,58.433458970421086
-37.87999999999931,105.37672727276806,1.7546650880553665,59.60909090910195,60.05517975487469
-37.77999999999929,111.41794545458879,1.8064777004081634,61.21527272728417,61.676900539328294
-37.67999999999927,117.61978181822762,1.8581728852605668,62.82145454546628,63.29862132378178
-37.579999999999245,123.98223636368486,1.909759442687183,64.4276363636485,64.92034210823539
-37.47999999999922,130.5053090909602,1.961245314883364,66.03381818183061,66.54206289268888
-37.3799999999992,137.18900000005414,2.012637688216504,67.64000000001295,68.16378367714259
-37.27999999999918,144.033309090966,2.0639430810481496,69.24618181819505,69.78550446159608
-37.179999999999154,151.03823636369606,2.115167419588985,70.85236363637716,71.40722524604956
-37.07999999999913,158.2037818182446,2.166316103646972,72.45854545455938,73.02894603050316
-36.97999999999911,165.52994545461135,2.2173940638055534,74.0647272727416,74.65066681495676
-36.879999999999086,173.0167272727962,2.2684058113074457,75.67090909092371,76.27238759941027
-36.77999999999906,180.6641272727995,2.3193554817070727,77.27709090910594,77.89410838386387
-36.67999999999904,188.47214545462106,2.370246873181277,78.88327272728816,79.51582916831747
-36.57999999999902,196.44078181826086,2.4210834802456573,80.48945454547038,81.13754995277107
-36.479999999998995,204.5700363637187,2.4718685235067506,82.09563636365249,82.75927073722457
-36.37999999999897,212.8599090909948,2.5226049759833606,83.7018181818346,84.38099152167804
-36.27999999999895,221.31040000008963,2.5732955864499027,85.30800000001693,86.00271230613177
-36.17999999999893,229.9215090910022,2.623942900187573,86.91418181819904,87.62443309058526
-36.079999999998904,238.69323636373332,2.6745492774730444,88.52036363638126,89.24615387503886
-35.97999999999888,247.6255818182824,2.725116910087372,90.12654545456337,90.86787465949234
-35.87999999999886,256.71854545465,2.775647836088149,91.73272727274309,92.48959544394346
-35.779999999998836,265.96102457013296,2.832679598624556,93.11685503687124,93.8902601971906
-35.67999999999881,275.3419164620285,2.88948728963685,94.50098280099928,95.29092495043763
-35.57999999999879,284.8612211303369,2.94608064675848,95.88511056512732,96.69158970368467
-35.47999999999877,294.51893857505837,3.0024688514460567,97.26923832925547,98.0922544569318
-35.379999999998745,304.31506879619246,3.05866056812874,98.65336609338351,99.49291921017884
-35.27999999999872,314.24961179373963,3.1146639800966476,100.03749385751166,100.89358396342597
-35.1799999999987,324.32256756769937,3.1704868224408576,101.4216216216397,102.29424871667301
-35.07999999999868,334.533936118072,3.2261364123237737,102.80574938576774,103.69491346992004
-34.979999999998654,344.8837174448577,3.281619676828914,104.18987714989589,105.09557822316718
-34.87999999999863,355.37191154805595,3.3369431786129806,105.57400491402393,106.49624297641421
-34.77999999999861,365.9985184276671,3.39211313955991,106.95813267815197,107.89690772966124
-34.679999999998586,376.7635380836913,3.4471354626161377,108.34226044228012,109.2975724829084
-34.57999999999856,387.66697051612806,3.5020157519681914,109.72638820640816,110.69823723615542
-34.47999999999854,398.708815724978,3.556759331707554,111.11051597053631,112.09890198940256
-34.37999999999852,409.88907371024044,3.611371263113526,112.49464373466435,113.49956674264959
-34.279999999998495,421.2077444719157,3.665856360671981,113.87877149879239,114.90023149589662
